Name,Label,Function,Type,Regex
TQ_IFR-D-i3,TQ_IFR-D-i3,sum,vr,IFR-D-i3.*ANS
TQ_IFR-D-i4,TQ_IFR-D-i4,sum,vr,IFR-D-i4.*ANS
TQ_IFR-D-i5,TQ_IFR-D-i5,sum,vr,IFR-D-i5.*ANS
TQ_IFR-D-i6,TQ_IFR-D-i6,sum,vr,IFR-D-i6.*ANS
TQ_IFR-O-i1,TQ_IFR-O-i1,sum,vr,IFR-O-i1.*ANS
TQ_IFR-O-i2,TQ_IFR-O-i2,sum,vr,IFR-O-i2.*ANS
TQ_IFR-O-i3,TQ_IFR-O-i3,sum,vr,IFR-O-i3.*ANS
TQ_IFR-O-i4,TQ_IFR-O-i4,sum,vr,IFR-O-i4.*ANS
TQ_IFR-O-i5,TQ_IFR-O-i5,sum,vr,IFR-O-i5.*ANS
TQ_IFR-O-i6,TQ_IFR-O-i6,sum,vr,IFR-O-i6.*ANS
TQ_TCR-O-TSK1,TQ_TCR-O-TSK1,sum,vr,TCR-O-TSK1-ANS
TQ_TCR-O-TSK2,TQ_TCR-O-TSK2,sum,vr,TCR-O-TSK2-ANS
TQ_TCR-O-TSK3,TQ_TCR-O-TSK3,sum,vr,TCR-O-TSK3-ANS
TQ_TCR-O-TSK4,TQ_TCR-O-TSK4,sum,vr,TCR-O-TSK4-ANS
TQ_TCR-O-TSK5,TQ_TCR-O-TSK5,sum,vr,TCR-O-TSK5-ANS
TQ_TCR-O-TSK6,TQ_TCR-O-TSK6,sum,vr,TCR-O-TSK6-ANS
TQ_ICR-N-i1,TQ_ICR-N-i1,sum,vr,ICR-N-i1.*ANS
TQ_ICR-N-i2,TQ_ICR-N-i2,sum,vr,ICR-N-i2.*ANS
TQ_ICR-N-i3,TQ_ICR-N-i3,sum,vr,ICR-N-i3.*ANS
TQ_ICR-N-i4,TQ_ICR-N-i4,sum,vr,ICR-N-i4.*ANS
TQ_ICR-N-i5,TQ_ICR-N-i5,sum,vr,ICR-N-i5.*ANS
TQ_ICR-N-i6,TQ_ICR-N-i6,sum,vr,ICR-N-i6.*ANS
TQ_ICR-U-i1,TQ_ICR-U-i1,sum,vr,ICR-U-i1.*ANS
TQ_ICR-U-i2,TQ_ICR-U-i2,sum,vr,ICR-U-i2.*ANS
TQ_ICR-U-i3,TQ_ICR-U-i3,sum,vr,ICR-U-i3.*ANS
TQ_ICR-U-i4,TQ_ICR-U-i4,sum,vr,ICR-U-i4.*ANS
TQ_ICR-U-i5,TQ_ICR-U-i5,sum,vr,ICR-U-i5.*ANS
TQ_ICR-U-i6,TQ_ICR-U-i6,sum,vr,ICR-U-i6.*ANS
TQ_ICR-D-i1,TQ_ICR-D-i1,sum,vr,ICR-D-i1.*ANS
TQ_ICR-D-i2,TQ_ICR-D-i2,sum,vr,ICR-D-i2.*ANS
TQ_ICR-D-i3,TQ_ICR-D-i3,sum,vr,ICR-D-i3.*ANS
TQ_ICR-D-i4,TQ_ICR-D-i4,sum,vr,ICR-D-i4.*ANS
TQ_ICR-D-i5,TQ_ICR-D-i5,sum,vr,ICR-D-i5.*ANS
TQ_ICR-D-i6,TQ_ICR-D-i6,sum,vr,ICR-D-i6.*ANS
TQ_ICR-O-i1,TQ_ICR-O-i1,sum,vr,ICR-O-i1.*ANS
TQ_ICR-O-i2,TQ_ICR-O-i2,sum,vr,ICR-O-i2.*ANS
TQ_ICR-O-i3,TQ_ICR-O-i3,sum,vr,ICR-O-i3.*ANS
TQ_ICR-O-i4,TQ_ICR-O-i4,sum,vr,ICR-O-i4.*ANS
TQ_ICR-O-i5,TQ_ICR-O-i5,sum,vr,ICR-O-i5.*ANS
TQ_ICR-O-i6,TQ_ICR-O-i6,sum,vr,ICR-O-i6.*ANS
TQ_RRE-L-DOOR,TQ_RRE-L-DOOR,sum,vr,RRE-L-DOOR-ANS
TQ_RRE-L-WIND,TQ_RRE-L-WIND,sum,vr,RRE-L-WIND-ANS
TQ_RRE-N-LAND,TQ_RRE-N-LAND,sum,vr,RRE-N-LAND-ANS
TQ_RRE-L-LAND,TQ_RRE-L-LAND,sum,vr,RRE-L-LAND-ANS
TQ_RRE-N-PORT,TQ_RRE-N-PORT,sum,vr,RRE-N-PORT-ANS
TQ_RRE-L-PORT,TQ_RRE-L-PORT,sum,vr,RRE-L-PORT-ANS
TQ_RRE-N-STRA,TQ_RRE-N-STRA,sum,vr,RRE-N-STRA-ANS
TQ_RRE-L-STRA,TQ_RRE-L-STRA,sum,vr,RRE-L-STRA-ANS
TQ_IRE-N-i1,TQ_IRE-N-i1,sum,vr,IRE-N-i1.*ANS
TQ_IRE-N-i2,TQ_IRE-N-i2,sum,vr,IRE-N-i2.*ANS
TQ_IRE-N-i3,TQ_IRE-N-i3,sum,vr,IRE-N-i3.*ANS
TQ_IRE-N-i4,TQ_IRE-N-i4,sum,vr,IRE-N-i4.*ANS
TQ_IRE-N-i5,TQ_IRE-N-i5,sum,vr,IRE-N-i5.*ANS
TQ_IRE-N-i6,TQ_IRE-N-i6,sum,vr,IRE-N-i6.*ANS
TQ_IRE-U-i1,TQ_IRE-U-i1,sum,vr,IRE-U-i1.*ANS
TQ_IRE-U-i2,TQ_IRE-U-i2,sum,vr,IRE-U-i2.*ANS
TQ_IRE-U-i3,TQ_IRE-U-i3,sum,vr,IRE-U-i3.*ANS
TQ_IRE-U-i4,TQ_IRE-U-i4,sum,vr,IRE-U-i4.*ANS
TQ_IRE-U-i5,TQ_IRE-U-i5,sum,vr,IRE-U-i5.*ANS
TQ_IRE-U-i6,TQ_IRE-U-i6,sum,vr,IRE-U-i6.*ANS
TQ_IRE-D-i1,TQ_IRE-D-i1,sum,vr,IRE-D-i1.*ANS
TQ_IRE-D-i2,TQ_IRE-D-i2,sum,vr,IRE-D-i2.*ANS
TQ_IRE-D-i3,TQ_IRE-D-i3,sum,vr,IRE-D-i3.*ANS
TQ_IRE-D-i4,TQ_IRE-D-i4,sum,vr,IRE-D-i4.*ANS
TQ_IRE-D-i5,TQ_IRE-D-i5,sum,vr,IRE-D-i5.*ANS
TQ_IRE-D-i6,TQ_IRE-D-i6,sum,vr,IRE-D-i6.*ANS
TQ_IRE-O-i1,TQ_IRE-O-i1,sum,vr,IRE-O-i1.*ANS
TQ_IRE-O-i2,TQ_IRE-O-i2,sum,vr,IRE-O-i2.*ANS
TQ_IRE-O-i3,TQ_IRE-O-i3,sum,vr,IRE-O-i3.*ANS
TQ_IRE-O-i4,TQ_IRE-O-i4,sum,vr,IRE-O-i4.*ANS
TQ_IRE-O-i5,TQ_IRE-O-i5,sum,vr,IRE-O-i5.*ANS
TQ_IRE-O-i6,TQ_IRE-O-i6,sum,vr,IRE-O-i6.*ANS
TC_RFR-N-OBJ1,TC_RFR-N-OBJ1,sum,vr,RFR-N-OBJ1-CON
TC_RFR-N-OBJ2,TC_RFR-N-OBJ2,sum,vr,RFR-N-OBJ2-CON
TC_RFR-N-OBJ3,TC_RFR-N-OBJ3,sum,vr,RFR-N-OBJ3-CON
TC_RFR-N-OBJ4,TC_RFR-N-OBJ4,sum,vr,RFR-N-OBJ4-CON
TC_RFR-N-STRA,TC_RFR-N-STRA,sum,vr,RFR-N-STRA-CON
TC_RFR-N-PORT,TC_RFR-N-PORT,sum,vr,RFR-N-PORT-CON
TC_RFR-N-LAND,TC_RFR-N-LAND,sum,vr,RFR-N-LAND-CON
TC_IFR-N-i1,TC_IFR-N-i1,sum,vr,IFR-N-i1.*CON
TC_IFR-N-i2,TC_IFR-N-i2,sum,vr,IFR-N-i2.*CON
TC_IFR-N-i3,TC_IFR-N-i3,sum,vr,IFR-N-i3.*CON
TC_IFR-N-i4,TC_IFR-N-i4,sum,vr,IFR-N-i4.*CON
TC_IFR-N-i5,TC_IFR-N-i5,sum,vr,IFR-N-i5.*CON
TC_IFR-N-i6,TC_IFR-N-i6,sum,vr,IFR-N-i6.*CON
TC_RFR-O-RORD,TC_RFR-O-RORD,sum,vr,RFR-O-RORD-CON
TC_RFR-O-TMOD,TC_RFR-O-TMOD,sum,vr,RFR-O-TMOD-CON
TC_RFR-N-WEAT,TC_RFR-N-WEAT,sum,vr,RFR-N-WEAT-CON
TC_RFR-L-OBJ1,TC_RFR-L-OBJ1,sum,vr,RFR-L-OBJ1-CON
TC_RFR-L-OBJ2,TC_RFR-L-OBJ2,sum,vr,RFR-L-OBJ2-CON
TC_RFR-L-OBJ3,TC_RFR-L-OBJ3,sum,vr,RFR-L-OBJ3-CON
TC_RFR-L-OBJ4,TC_RFR-L-OBJ4,sum,vr,RFR-L-OBJ4-CON
TC_RFR-L-DOOR,TC_RFR-L-DOOR,sum,vr,RFR-L-DOOR-CON
TC_RFR-L-WIND,TC_RFR-L-WIND,sum,vr,RFR-L-WIND-CON
TC_RFR-L-PORT,TC_RFR-L-PORT,sum,vr,RFR-L-PORT-CON
TC_RFR-L-LAND,TC_RFR-L-LAND,sum,vr,RFR-L-LAND-CON
TC_RFR-L-STRA,TC_RFR-L-STRA,sum,vr,RFR-L-STRA-CON
TC_IFR-U-i1,TC_IFR-U-i1,sum,vr,IFR-U-i1.*CON
TC_IFR-U-i2,TC_IFR-U-i2,sum,vr,IFR-U-i2.*CON
TC_IFR-U-i3,TC_IFR-U-i3,sum,vr,IFR-U-i3.*CON
TC_IFR-U-i4,TC_IFR-U-i4,sum,vr,IFR-U-i4.*CON
TC_IFR-U-i5,TC_IFR-U-i5,sum,vr,IFR-U-i5.*CON
TC_IFR-U-i6,TC_IFR-U-i6,sum,vr,IFR-U-i6.*CON
TC_IFR-D-i1,TC_IFR-D-i1,sum,vr,IFR-D-i1.*CON
TC_IFR-D-i2,TC_IFR-D-i2,sum,vr,IFR-D-i2.*CON
TC_IFR-D-i3,TC_IFR-D-i3,sum,vr,IFR-D-i3.*CON
TC_IFR-D-i4,TC_IFR-D-i4,sum,vr,IFR-D-i4.*CON
TC_IFR-D-i5,TC_IFR-D-i5,sum,vr,IFR-D-i5.*CON
TC_IFR-D-i6,TC_IFR-D-i6,sum,vr,IFR-D-i6.*CON
TC_IFR-O-i1,TC_IFR-O-i1,sum,vr,IFR-O-i1.*CON
TC_IFR-O-i2,TC_IFR-O-i2,sum,vr,IFR-O-i2.*CON
TC_IFR-O-i3,TC_IFR-O-i3,sum,vr,IFR-O-i3.*CON
TC_IFR-O-i4,TC_IFR-O-i4,sum,vr,IFR-O-i4.*CON
TC_IFR-O-i5,TC_IFR-O-i5,sum,vr,IFR-O-i5.*CON
TC_IFR-O-i6,TC_IFR-O-i6,sum,vr,IFR-O-i6.*CON
TC_TCR-O-TSK1,TC_TCR-O-TSK1,sum,vr,TCR-O-TSK1-CON
TC_TCR-O-TSK2,TC_TCR-O-TSK2,sum,vr,TCR-O-TSK2-CON
TC_TCR-O-TSK3,TC_TCR-O-TSK3,sum,vr,TCR-O-TSK3-CON
TC_TCR-O-TSK4,TC_TCR-O-TSK4,sum,vr,TCR-O-TSK4-CON
TC_TCR-O-TSK5,TC_TCR-O-TSK5,sum,vr,TCR-O-TSK5-CON
TC_TCR-O-TSK6,TC_TCR-O-TSK6,sum,vr,TCR-O-TSK6-CON
TC_ICR-N-i1,TC_ICR-N-i1,sum,vr,ICR-N-i1.*CON
TC_ICR-N-i2,TC_ICR-N-i2,sum,vr,ICR-N-i2.*CON
TC_ICR-N-i3,TC_ICR-N-i3,sum,vr,ICR-N-i3.*CON
TC_ICR-N-i4,TC_ICR-N-i4,sum,vr,ICR-N-i4.*CON
TC_ICR-N-i5,TC_ICR-N-i5,sum,vr,ICR-N-i5.*CON
TC_ICR-N-i6,TC_ICR-N-i6,sum,vr,ICR-N-i6.*CON
TC_ICR-U-i1,TC_ICR-U-i1,sum,vr,ICR-U-i1.*CON
TC_ICR-U-i2,TC_ICR-U-i2,sum,vr,ICR-U-i2.*CON
TC_ICR-U-i3,TC_ICR-U-i3,sum,vr,ICR-U-i3.*CON
TC_ICR-U-i4,TC_ICR-U-i4,sum,vr,ICR-U-i4.*CON
TC_ICR-U-i5,TC_ICR-U-i5,sum,vr,ICR-U-i5.*CON
TC_ICR-U-i6,TC_ICR-U-i6,sum,vr,ICR-U-i6.*CON
TC_ICR-D-i1,TC_ICR-D-i1,sum,vr,ICR-D-i1.*CON
TC_ICR-D-i2,TC_ICR-D-i2,sum,vr,ICR-D-i2.*CON
TC_ICR-D-i3,TC_ICR-D-i3,sum,vr,ICR-D-i3.*CON
TC_ICR-D-i4,TC_ICR-D-i4,sum,vr,ICR-D-i4.*CON
TC_ICR-D-i5,TC_ICR-D-i5,sum,vr,ICR-D-i5.*CON
TC_ICR-D-i6,TC_ICR-D-i6,sum,vr,ICR-D-i6.*CON
TC_ICR-O-i1,TC_ICR-O-i1,sum,vr,ICR-O-i1.*CON
TC_ICR-O-i2,TC_ICR-O-i2,sum,vr,ICR-O-i2.*CON
TC_ICR-O-i3,TC_ICR-O-i3,sum,vr,ICR-O-i3.*CON
TC_ICR-O-i4,TC_ICR-O-i4,sum,vr,ICR-O-i4.*CON
TC_ICR-O-i5,TC_ICR-O-i5,sum,vr,ICR-O-i5.*CON
TC_ICR-O-i6,TC_ICR-O-i6,sum,vr,ICR-O-i6.*CON
TC_RRE-L-DOOR,TC_RRE-L-DOOR,sum,vr,RRE-L-DOOR-CON
TC_RRE-L-WIND,TC_RRE-L-WIND,sum,vr,RRE-L-WIND-CON
TC_RRE-N-LAND,TC_RRE-N-LAND,sum,vr,RRE-N-LAND-CON
TC_RRE-L-LAND,TC_RRE-L-LAND,sum,vr,RRE-L-LAND-CON
TC_RRE-N-PORT,TC_RRE-N-PORT,sum,vr,RRE-N-PORT-CON
TC_RRE-L-PORT,TC_RRE-L-PORT,sum,vr,RRE-L-PORT-CON
TC_RRE-N-STRA,TC_RRE-N-STRA,sum,vr,RRE-N-STRA-CON
TC_RRE-L-STRA,TC_RRE-L-STRA,sum,vr,RRE-L-STRA-CON
TC_IRE-N-i1,TC_IRE-N-i1,sum,vr,IRE-N-i1.*CON
TC_IRE-N-i2,TC_IRE-N-i2,sum,vr,IRE-N-i2.*CON
TC_IRE-N-i3,TC_IRE-N-i3,sum,vr,IRE-N-i3.*CON
TC_IRE-N-i4,TC_IRE-N-i4,sum,vr,IRE-N-i4.*CON
TC_IRE-N-i5,TC_IRE-N-i5,sum,vr,IRE-N-i5.*CON
TC_IRE-N-i6,TC_IRE-N-i6,sum,vr,IRE-N-i6.*CON
TC_IRE-U-i1,TC_IRE-U-i1,sum,vr,IRE-U-i1.*CON
TC_IRE-U-i2,TC_IRE-U-i2,sum,vr,IRE-U-i2.*CON
TC_IRE-U-i3,TC_IRE-U-i3,sum,vr,IRE-U-i3.*CON
TC_IRE-U-i4,TC_IRE-U-i4,sum,vr,IRE-U-i4.*CON
TC_IRE-U-i5,TC_IRE-U-i5,sum,vr,IRE-U-i5.*CON
TC_IRE-U-i6,TC_IRE-U-i6,sum,vr,IRE-U-i6.*CON
TC_IRE-D-i1,TC_IRE-D-i1,sum,vr,IRE-D-i1.*CON
TC_IRE-D-i2,TC_IRE-D-i2,sum,vr,IRE-D-i2.*CON
TC_IRE-D-i3,TC_IRE-D-i3,sum,vr,IRE-D-i3.*CON
TC_IRE-D-i4,TC_IRE-D-i4,sum,vr,IRE-D-i4.*CON
TC_IRE-D-i5,TC_IRE-D-i5,sum,vr,IRE-D-i5.*CON
TC_IRE-D-i6,TC_IRE-D-i6,sum,vr,IRE-D-i6.*CON
TC_IRE-O-i1,TC_IRE-O-i1,sum,vr,IRE-O-i1.*CON
TC_IRE-O-i2,TC_IRE-O-i2,sum,vr,IRE-O-i2.*CON
TC_IRE-O-i3,TC_IRE-O-i3,sum,vr,IRE-O-i3.*CON
TC_IRE-O-i4,TC_IRE-O-i4,sum,vr,IRE-O-i4.*CON
TC_IRE-O-i5,TC_IRE-O-i5,sum,vr,IRE-O-i5.*CON
TC_IRE-O-i6,TC_IRE-O-i6,sum,vr,IRE-O-i6.*CON
age,age,sum,dem,DEM-X-Age
